author_id,author_name,birthdate,country
1,Michael Johnson,1978-05-17,Myanmar
2,Kirk Banks,2001-04-18,Cuba
3,Benjamin Alvarez,1986-07-22,Lao People's Democratic Republic
4,Karen Mcdonald,1950-09-07,Saudi Arabia
5,Mr. Terry Bernard,1942-02-28,New Caledonia
6,William Macias,1960-03-26,Sierra Leone
7,Heather Russo,1984-07-31,Barbados
8,Steven Smith,1934-02-14,Bosnia and Herzegovina
9,Ashley Rice,1971-06-15,Niger
10,Kevin Matthews,1966-04-09,Holy See (Vatican City State)
11,Timothy Blake,1928-07-27,Tajikistan
12,Mary Williams,1909-06-10,Trinidad and Tobago
13,Jessica Little,1923-03-06,Portugal
14,Nicole Thomas,2021-09-22,Netherlands
15,Lauren Ayala,1988-08-13,Mauritania
16,Sharon Moore,1979-09-10,Wallis and Futuna
17,Anthony Huffman,1917-04-28,Hungary
18,Jimmy James,1936-04-03,New Zealand
19,Gabrielle Byrd,2010-01-28,Saint Lucia
20,Brandy Miller,1955-12-29,Isle of Man
21,Nicole Schwartz,1984-04-01,Guatemala
22,Philip Valencia,1954-11-24,Samoa
23,Tracy Lawrence,1914-04-17,Belarus
24,Christine Miller,2013-09-22,Lithuania
25,Jeremy Warren,1962-10-26,Cocos (Keeling) Islands
26,Darryl Ross,1934-10-13,Timor-Leste
27,Kevin Allen,1940-04-04,Benin
28,James Gould,1923-03-06,Cayman Islands
29,Rebecca Young,1971-10-11,Central African Republic
30,Jason Daniels,1997-07-31,Netherlands Antilles
31,Taylor Hess,2008-05-09,Madagascar
32,Jessica Campbell,1975-03-27,Cambodia
33,Mark Wallace,2017-09-17,Zimbabwe
34,Leslie Gibson,1964-07-29,Tajikistan
35,Gabriel Young,2001-12-10,Greenland
36,Brandy Barrett,1942-09-21,Guatemala
37,Barry Hurst,1992-03-21,Mayotte
38,Monica Soto,1916-06-20,China
39,Lori Evans,1924-07-06,Austria
40,James Carter,1947-07-04,Saint Helena
41,Jennifer Barnes,1980-02-17,United Arab Emirates
42,Sierra Wilson,1995-06-27,Puerto Rico
43,Jonathan Mann,1968-02-26,Isle of Man
44,Mr. Daniel Parker,2009-10-02,Mauritania
45,Joshua Williams,1979-11-01,Armenia
46,Megan Thompson,1930-07-10,Turks and Caicos Islands
47,Matthew Brown,1964-08-05,Montenegro
48,Paul Soto,1945-03-14,Wallis and Futuna
49,Michael Webb,1961-03-20,Kyrgyz Republic
50,Jorge Mcconnell,1934-09-01,Honduras
51,Gina Webster,1912-01-18,Angola
52,Jessica Morris,2006-05-09,Malaysia
53,Natalie James,1965-05-28,Botswana
54,Sandra Short,1945-05-28,Netherlands
55,Sharon Rodriguez,1983-03-31,Poland
56,Wendy Phillips,2020-07-13,Turkey
57,Timothy Grimes,1993-01-10,Sri Lanka
58,Christopher Santos,2014-07-01,Grenada
59,Kimberly Boyer,2018-11-01,Cayman Islands
60,Jason Simmons,1988-06-11,Benin
61,Krystal Davis,1929-05-24,Hungary
62,Robin Ponce,1969-11-24,Uzbekistan
63,Jennifer Smith,1942-02-05,Mozambique
64,Daniel Butler Jr.,1989-08-22,Norway
65,Dillon Nelson,2003-11-17,Bermuda
66,John Griffith,1991-11-07,Togo
67,Kara Odonnell,2006-02-24,Taiwan
68,Alexis Walker,1955-08-12,Slovenia
69,Karen Adams,1998-07-17,Germany
70,Meghan Morton,2000-05-18,Ireland
71,Elizabeth Lewis,1943-09-22,Malta
72,Jennifer Jones,1973-12-06,Seychelles
73,Jessica Wright,2003-01-28,Gambia
74,Elizabeth Roberts,2006-03-26,Slovenia
75,Stephen Harmon,1964-10-11,Bhutan
